"id","name","yomigana","sort_no","created_at","updated_at"
1,"北海道","ほっかいどう",1,"2013-09-05 11:15:32","2013-09-05 11:15:32"
2,"青森県","あおもりけん",2,"2013-09-05 11:15:32","2013-09-05 11:15:32"
3,"岩手県","いわてけん",3,"2013-09-05 11:15:32","2013-09-05 11:15:32"
4,"宮城県","みやぎけん",4,"2013-09-05 11:15:32","2013-09-05 11:15:32"
5,"秋田県","あきたけん",5,"2013-09-05 11:15:32","2013-09-05 11:15:32"
6,"山形県","やまがたけん",6,"2013-09-05 11:15:32","2013-09-05 11:15:32"
7,"福島県","ふくしまけん",7,"2013-09-05 11:15:32","2013-09-05 11:15:32"
8,"茨城県","いばらきけん",8,"2013-09-05 11:15:32","2013-09-05 11:15:32"
9,"栃木県","とちぎけん",9,"2013-09-05 11:15:32","2013-09-05 11:15:32"
10,"群馬県","ぐんまけん",10,"2013-09-05 11:15:32","2013-09-05 11:15:32"
11,"埼玉県","さいたまけん",11,"2013-09-05 11:15:32","2013-09-05 11:15:32"
12,"千葉県","ちばけん",12,"2013-09-05 11:15:32","2013-09-05 11:15:32"
13,"東京都","とうきょうと",13,"2013-09-05 11:15:32","2013-09-05 11:15:32"
14,"神奈川県","かながわけん",14,"2013-09-05 11:15:32","2013-09-05 11:15:32"
15,"新潟県","にいがたけん",15,"2013-09-05 11:15:32","2013-09-05 11:15:32"
16,"富山県","とやまけん",16,"2013-09-05 11:15:32","2013-09-05 11:15:32"
17,"石川県","いしかわけん",17,"2013-09-05 11:15:32","2013-09-05 11:15:32"
18,"福井県","ふくいけん",18,"2013-09-05 11:15:32","2013-09-05 11:15:32"
19,"山梨県","やまなしけん",19,"2013-09-05 11:15:32","2013-09-05 11:15:32"
20,"長野県","ながのけん",20,"2013-09-05 11:15:32","2013-09-05 11:15:32"
21,"岐阜県","ぎふけん",21,"2013-09-05 11:15:32","2013-09-05 11:15:32"
22,"静岡県","しずおかけん",22,"2013-09-05 11:15:32","2013-09-05 11:15:32"
23,"愛知県","あいちけん",23,"2013-09-05 11:15:32","2013-09-05 11:15:32"
24,"三重県","みえけん",24,"2013-09-05 11:15:32","2013-09-05 11:15:32"
25,"滋賀県","しがけん",25,"2013-09-05 11:15:32","2013-09-05 11:15:32"
26,"京都府","きょうとふ",26,"2013-09-05 11:15:32","2013-09-05 11:15:32"
27,"大阪府","おおさかふ",27,"2013-09-05 11:15:32","2013-09-05 11:15:32"
28,"兵庫県","ひょうごけん",28,"2013-09-05 11:15:32","2013-09-05 11:15:32"
29,"奈良県","ならけん",29,"2013-09-05 11:15:32","2013-09-05 11:15:32"
30,"和歌山県","わかやまけん",30,"2013-09-05 11:15:32","2013-09-05 11:15:32"
31,"鳥取県","とっとりけん",31,"2013-09-05 11:15:32","2013-09-05 11:15:32"
32,"島根県","しまねけん",32,"2013-09-05 11:15:32","2013-09-05 11:15:32"
33,"岡山県","おかやまけん",33,"2013-09-05 11:15:32","2013-09-05 11:15:32"
34,"広島県","ひろしまけん",34,"2013-09-05 11:15:32","2013-09-05 11:15:32"
35,"山口県","やまぐちけん",35,"2013-09-05 11:15:32","2013-09-05 11:15:32"
36,"徳島県","とくしまけん",36,"2013-09-05 11:15:32","2013-09-05 11:15:32"
37,"香川県","かがわけん",37,"2013-09-05 11:15:32","2013-09-05 11:15:32"
38,"愛媛県","えひめけん",38,"2013-09-05 11:15:32","2013-09-05 11:15:32"
39,"高知県","こうちけん",39,"2013-09-05 11:15:32","2013-09-05 11:15:32"
40,"福岡県","ふくおかけん",40,"2013-09-05 11:15:32","2013-09-05 11:15:32"
41,"佐賀県","さがけん",41,"2013-09-05 11:15:32","2013-09-05 11:15:32"
42,"長崎県","ながさきけん",42,"2013-09-05 11:15:32","2013-09-05 11:15:32"
43,"熊本県","くまもとけん",43,"2013-09-05 11:15:32","2013-09-05 11:15:32"
44,"大分県","おおいたけん",44,"2013-09-05 11:15:32","2013-09-05 11:15:32"
45,"宮崎県","みやざきけん",45,"2013-09-05 11:15:32","2013-09-05 11:15:32"
46,"鹿児島県","かごしまけん",46,"2013-09-05 11:15:32","2013-09-05 11:15:32"
47,"沖縄県","おきなわけん",47,"2013-09-05 11:15:32","2013-09-05 11:15:32"
